"ANIMALID","DATE","LONGITUDE","LATITUDE","DELETED"
"M2","2011-06-17 20:30:37.000","145.445196","-16.012571","FALSE"
"M2","2011-06-17 21:01:01.000","145.44507","-16.012501","FALSE"
"M2","2011-06-17 23:00:37.000","145.443505","-16.015342","FALSE"
"M2","2011-06-18 01:30:42.000","145.442391","-16.01691","FALSE"
"M2","2011-06-18 02:30:42.000","145.441864","-16.01665","FALSE"
"M2","2011-06-18 03:01:01.000","145.441398","-16.016865","FALSE"
"M2","2011-06-18 05:00:40.000","145.442238","-16.015913","FALSE"
"M2","2011-06-18 06:00:45.000","145.442781","-16.015514","FALSE"
"M2","2011-06-18 07:01:01.000","145.44272","-16.015453","FALSE"
"M2","2011-06-18 21:00:51.000","145.443703","-16.014945","FALSE"
"M2","2011-06-18 22:00:23.000","145.446021","-16.014404","FALSE"
"M2","2011-06-18 23:00:50.000","145.447904","-16.015108","FALSE"
"M2","2011-06-18 23:30:41.000","145.445658","-16.015853","FALSE"
"M2","2011-06-19 01:30:47.000","145.444742","-16.017328","FALSE"
"M2","2011-06-19 02:00:38.000","145.444851","-16.017307","FALSE"
"M2","2011-06-19 03:00:41.000","145.444876","-16.017323","FALSE"
"M2","2011-06-19 04:00:32.000","145.444687","-16.017715","FALSE"
"M2","2011-06-19 04:30:29.000","145.445073","-16.01858","FALSE"
"M2","2011-06-19 06:30:26.000","145.445986","-16.020978","FALSE"
"M2","2011-06-19 07:30:55.000","145.446106","-16.02091","FALSE"
"M2","2011-06-19 08:00:47.000","145.446078","-16.020886","FALSE"
"M2","2011-06-19 10:01:01.000","145.446069","-16.021075","FALSE"
"M2","2011-06-19 10:30:46.000","145.446259","-16.021176","FALSE"
"M2","2011-06-19 18:01:01.000","145.446086","-16.020963","FALSE"
"M2","2011-06-19 20:30:25.000","145.44592","-16.020701","FALSE"
"M2","2011-06-19 21:30:47.000","145.445579","-16.021817","FALSE"
"M2","2011-06-19 22:30:47.000","145.445575","-16.027091","FALSE"
"M2","2011-06-20 01:00:36.000","145.444577","-16.029796","FALSE"
"M2","2011-06-20 01:30:37.000","145.445511","-16.030102","FALSE"
"M2","2011-06-20 03:00:38.000","145.448329","-16.031474","FALSE"
"M2","2011-06-20 03:30:37.000","145.448268","-16.031448","FALSE"
"M2","2011-06-20 04:01:01.000","145.448809","-16.031752","FALSE"
"M2","2011-06-20 04:30:09.000","145.448768","-16.031762","FALSE"
"M2","2011-06-20 06:00:38.000","145.448841","-16.031959","FALSE"
"M2","2011-06-20 09:31:01.000","145.448561","-16.031955","FALSE"
"M2","2011-06-20 10:00:39.000","145.448683","-16.031884","FALSE"
"M2","2011-06-20 17:30:37.000","145.448879","-16.032023","FALSE"
"M2","2011-06-20 19:00:40.000","145.448766","-16.032211","FALSE"
"M2","2011-06-20 20:01:01.000","145.449174","-16.032155","FALSE"
"M2","2011-06-20 20:30:39.000","145.448706","-16.031953","FALSE"
"M2","2011-06-20 21:30:50.000","145.444097","-16.029882","FALSE"
"M2","2011-06-21 02:00:29.000","145.433896","-16.024975","FALSE"
"M2","2011-06-21 03:30:38.000","145.431505","-16.024907","FALSE"
"M2","2011-06-21 04:01:02.000","145.431596","-16.024796","FALSE"
"M2","2011-06-21 05:31:01.000","145.430136","-16.024024","FALSE"
"M2","2011-06-21 06:30:40.000","145.429894","-16.024162","FALSE"
"M2","2011-06-21 21:01:02.000","145.429946","-16.023184","FALSE"
"M2","2011-06-22 01:00:48.000","145.422355","-16.021148","FALSE"
"M2","2011-06-22 03:00:34.000","145.42322","-16.021717","FALSE"
"M2","2011-06-22 04:00:58.000","145.424094","-16.02068","FALSE"
"M2","2011-06-22 06:30:47.000","145.424185","-16.019509","FALSE"
"M2","2011-06-22 21:00:35.000","145.425619","-16.020099","FALSE"
"M2","2011-06-22 21:30:29.000","145.426069","-16.019828","FALSE"
"M2","2011-06-22 22:30:50.000","145.429502","-16.022253","FALSE"
"M2","2011-06-23 06:00:31.000","145.434769","-16.022647","FALSE"
"M2","2011-06-23 06:30:32.000","145.43486","-16.02262","FALSE"
"M2","2011-06-23 17:01:01.000","145.434643","-16.022653","FALSE"
"M2","2011-06-23 20:01:00.000","145.435005","-16.022779","FALSE"
"M2","2011-06-23 21:00:20.000","145.434089","-16.023469","FALSE"
"M2","2011-06-23 21:30:48.000","145.434187","-16.024742","FALSE"
"M2","2011-06-23 22:00:25.000","145.435953","-16.024887","FALSE"
"M2","2011-06-23 22:30:30.000","145.437808","-16.023474","FALSE"
"M2","2011-06-24 00:30:44.000","145.4456","-16.021489","FALSE"
"M2","2011-06-24 01:00:13.000","145.444936","-16.020757","FALSE"
"M2","2011-06-24 01:31:01.000","145.444809","-16.019872","FALSE"
"M2","2011-06-24 03:00:41.000","145.445088","-16.018437","FALSE"
"M2","2011-06-24 03:30:55.000","145.445214","-16.018187","FALSE"
"M2","2011-06-24 04:00:44.000","145.445507","-16.018211","FALSE"
"M2","2011-06-24 04:31:01.000","145.445483","-16.017766","FALSE"
"M2","2011-06-24 05:30:47.000","145.445271","-16.01768","FALSE"
"M2","2011-06-24 06:31:01.000","145.445299","-16.017753","FALSE"
"M2","2011-06-24 17:01:01.000","145.445154","-16.017812","FALSE"
"M2","2011-06-24 17:30:42.000","145.445288","-16.017948","FALSE"
"M2","2011-06-24 20:30:48.000","145.445186","-16.017905","FALSE"
"M2","2011-06-24 21:00:33.000","145.44541","-16.017538","FALSE"
"M2","2011-06-24 22:00:42.000","145.445791","-16.015603","FALSE"
"M2","2011-06-24 22:30:49.000","145.445112","-16.015526","FALSE"
"M2","2011-06-25 01:01:01.000","145.441663","-16.016815","FALSE"
"M2","2011-06-25 02:01:01.000","145.442071","-16.018254","FALSE"
"M2","2011-06-25 02:30:38.000","145.442069","-16.018034","FALSE"
"M2","2011-06-25 03:31:01.000","145.442327","-16.018477","FALSE"
"M2","2011-06-25 04:01:01.000","145.443244","-16.018832","FALSE"
"M2","2011-06-25 04:30:56.000","145.443094","-16.018354","FALSE"
"M2","2011-06-25 05:30:16.000","145.44462","-16.017631","FALSE"
"M2","2011-06-25 06:00:13.000","145.444488","-16.01753","FALSE"
"M2","2011-06-25 07:30:33.000","145.44451","-16.017353","FALSE"
"M2","2011-06-25 19:30:36.000","145.444509","-16.017493","FALSE"
"M2","2011-06-25 20:00:46.000","145.444713","-16.017537","FALSE"
"M2","2011-06-25 20:30:29.000","145.444559","-16.017551","FALSE"
"M2","2011-06-25 21:01:01.000","145.445337","-16.017921","FALSE"
"M2","2011-06-25 21:30:38.000","145.445004","-16.018363","FALSE"
"M2","2011-06-25 22:00:42.000","145.445011","-16.019129","FALSE"
"M2","2011-06-26 02:00:35.000","145.443701","-16.014001","FALSE"
"M2","2011-06-26 03:31:00.000","145.442259","-16.014105","FALSE"
"M2","2011-06-26 04:00:41.000","145.442417","-16.015303","FALSE"
"M2","2011-06-26 04:30:57.000","145.442371","-16.015204","FALSE"
"M2","2011-06-26 05:30:36.000","145.441937","-16.015627","FALSE"
"M2","2011-06-26 06:00:27.000","145.441519","-16.016772","FALSE"
"M2","2011-06-26 07:00:31.000","145.44215","-16.01771","FALSE"
"M2","2011-06-26 10:01:01.000","145.442307","-16.017899","FALSE"
"M2","2011-06-26 18:31:01.000","145.441874","-16.017719","FALSE"
"M2","2011-06-26 21:30:41.000","145.440541","-16.018573","FALSE"
"M2","2011-06-26 22:00:41.000","145.439118","-16.019216","FALSE"
"M2","2011-06-27 01:00:06.000","145.445242","-16.018149","FALSE"
"M2","2011-06-27 02:00:45.000","145.445143","-16.016377","FALSE"
"M2","2011-06-27 02:31:00.000","145.445454","-16.016496","FALSE"
"M2","2011-06-27 03:30:34.000","145.445281","-16.016058","FALSE"
"M2","2011-06-27 04:30:43.000","145.444652","-16.012545","FALSE"
"M2","2011-06-27 07:31:01.000","145.445922","-16.011807","FALSE"
"M2","2011-06-27 10:31:01.000","145.446326","-16.012641","FALSE"
"M2","2011-06-27 20:30:54.000","145.446273","-16.012714","FALSE"
"M2","2011-06-27 22:30:52.000","145.441554","-16.010587","FALSE"
"M2","2011-06-28 01:01:01.000","145.443816","-16.006938","FALSE"
"M2","2011-06-28 02:01:01.000","145.444694","-16.008694","FALSE"
